"State","Year","Gender","Event","Class","Mark","Mark.Note"
"Oregon",2019,"Girls","100m","5A","12.29","-0.6"
"Oregon",2019,"Girls","800m","5A","2:18.70",""
"Oregon",2019,"Girls","1500m","5A","4:45.48",""
"Oregon",2019,"Girls","High Jump","5A","5-04.00",""
"Oregon",2019,"Girls","Pole Vault","5A","10-06.00",""
"Oregon",2019,"Girls","100m","6A","12.08","+0.0"
"Oregon",2019,"Girls","800m","6A","2:09.52",""
"Oregon",2019,"Girls","1500m","6A","4:27.13",""
"Oregon",2019,"Girls","High Jump","6A","5-06.00",""
"Oregon",2019,"Girls","Pole Vault","6A","12-00.00",""
"Oregon",2019,"Boys","100m","5A","10.98","-1.0"
"Oregon",2019,"Boys","800m","5A","1:56.04",""
"Oregon",2019,"Boys","1500m","5A","3:51.92",""
"Oregon",2019,"Boys","High Jump","5A","6-04.00",""
"Oregon",2019,"Boys","Pole Vault","5A","14-03.00",""
"Oregon",2019,"Boys","100m","6A","10.66","0.1"
"Oregon",2019,"Boys","800m","6A","1:53.40",""
"Oregon",2019,"Boys","1500m","6A","3:57.02",""
"Oregon",2019,"Boys","High Jump","6A","6-06.00",""
"Oregon",2019,"Boys","Pole Vault","6A","16-06.00",""
"Oregon",2019,"Girls","100m","3A","12.91","-1.6"
"Oregon",2019,"Girls","800m","3A","2:18.25",""
"Oregon",2019,"Girls","1500m","3A","4:44.30",""
"Oregon",2019,"Girls","High Jump","3A","5-04.00",""
"Oregon",2019,"Girls","Pole Vault","3A","10-09.00",""
"Oregon",2019,"Girls","100m","4A","12.10","-0.9"
"Oregon",2019,"Girls","800m","4A","2:20.58",""
"Oregon",2019,"Girls","1500m","4A","4:47.86",""
"Oregon",2019,"Girls","High Jump","4A","5-05.00",""
"Oregon",2019,"Girls","Pole Vault","4A","11-00.00",""
"Oregon",2019,"Boys","100m","3A","11.23","0.2"
"Oregon",2019,"Boys","800m","3A","1:59.45",""
"Oregon",2019,"Boys","1500m","3A","4:12.89",""
"Oregon",2019,"Boys","High Jump","3A","6-06.00",""
"Oregon",2019,"Boys","Pole Vault","3A","14-00.00",""
"Oregon",2019,"Boys","100m","4A","11.18","-1.1"
"Oregon",2019,"Boys","800m","4A","1:55.16",""
"Oregon",2019,"Boys","1500m","4A","4:05.64",""
"Oregon",2019,"Boys","High Jump","4A","6-02.00",""
"Oregon",2019,"Boys","Pole Vault","4A","14-06.00",""
"Oregon",2019,"Girls","100m","1A","12.78","0.8"
"Oregon",2019,"Girls","800m","1A","2:22.08",""
"Oregon",2019,"Girls","1500m","1A","4:57.33",""
"Oregon",2019,"Girls","High Jump","1A","5-03.00",""
"Oregon",2019,"Girls","Pole Vault","1A","10-00.00",""
"Oregon",2019,"Girls","100m","2A","12.75","1.1"
"Oregon",2019,"Girls","800m","2A","2:24.52",""
"Oregon",2019,"Girls","1500m","2A","5:00.01",""
"Oregon",2019,"Girls","High Jump","2A","5-03.00",""
"Oregon",2019,"Girls","Pole Vault","2A","9-09.00",""
"Oregon",2019,"Boys","100m","1A","11.07","0.9"
"Oregon",2019,"Boys","800m","1A","2:01.30",""
"Oregon",2019,"Boys","1500m","1A","4:01.26",""
"Oregon",2019,"Boys","High Jump","1A","6-05.00",""
"Oregon",2019,"Boys","Pole Vault","1A","13-00.00",""
"Oregon",2019,"Boys","100m","2A","11.28","1.3"
"Oregon",2019,"Boys","800m","2A","2:01.09",""
"Oregon",2019,"Boys","1500m","2A","4:09.94",""
"Oregon",2019,"Boys","High Jump","2A","6-04.00",""
"Oregon",2019,"Boys","Pole Vault","2A","13-06.00",""
"Oregon",2018,"Girls","100m","1A","12.35","1.1"
"Oregon",2018,"Girls","800m","1A","2:26.51",""
"Oregon",2018,"Girls","1500m","1A","4:57.75",""
"Oregon",2018,"Girls","High Jump","1A","5-02.00","1.5"
"Oregon",2018,"Girls","Pole Vault","1A","8-04.00","2.5"
"Oregon",2018,"Girls","100m","2A","12.75","0.2"
"Oregon",2018,"Girls","800m","2A","2:25.16",""
"Oregon",2018,"Girls","1500m","2A","4:44.70",""
"Oregon",2018,"Girls","High Jump","2A","5-03.00","1.6"
"Oregon",2018,"Girls","Pole Vault","2A","10-06.00","3.2"
